DriverNumber,Abbreviation,FullName,Position,Time,Status,RaceName,Round
9,MAZ,Nikita Mazepin,19.0,,+2 Laps,Portuguese Grand Prix,3
7,RAI,Kimi Räikkönen,20.0,,Collision damage,Portuguese Grand Prix,3
44,HAM,Lewis Hamilton,1.0,0 days 01:33:07.680000,Finished,Spanish Grand Prix,4
33,VER,Max Verstappen,2.0,0 days 00:00:15.841000,Finished,Spanish Grand Prix,4
77,BOT,Valtteri Bottas,3.0,0 days 00:00:26.610000,Finished,Spanish Grand Prix,4
16,LEC,Charles Leclerc,4.0,0 days 00:00:54.616000,Finished,Spanish Grand Prix,4
11,PER,Sergio Perez,5.0,0 days 00:01:03.671000,Finished,Spanish Grand Prix,4
3,RIC,Daniel Ricciardo,6.0,0 days 00:01:13.768000,Finished,Spanish Grand Prix,4
55,SAI,Carlos Sainz,7.0,0 days 00:01:14.670000,Finished,Spanish Grand Prix,4
4,NOR,Lando Norris,8.0,,+1 Lap,Spanish Grand Prix,4
31,OCO,Esteban Ocon,9.0,,+1 Lap,Spanish Grand Prix,4
10,GAS,Pierre Gasly,10.0,,+1 Lap,Spanish Grand Prix,4
18,STR,Lance Stroll,11.0,,+1 Lap,Spanish Grand Prix,4
7,RAI,Kimi Räikkönen,12.0,,+1 Lap,Spanish Grand Prix,4
5,VET,Sebastian Vettel,13.0,,+1 Lap,Spanish Grand Prix,4
63,RUS,George Russell,14.0,,+1 Lap,Spanish Grand Prix,4
99,GIO,Antonio Giovinazzi,15.0,,+1 Lap,Spanish Grand Prix,4
6,LAT,Nicholas Latifi,16.0,,+1 Lap,Spanish Grand Prix,4
14,ALO,Fernando Alonso,17.0,,+1 Lap,Spanish Grand Prix,4
47,MSC,Mick Schumacher,18.0,,+2 Laps,Spanish Grand Prix,4
9,MAZ,Nikita Mazepin,19.0,,+2 Laps,Spanish Grand Prix,4
22,TSU,Yuki Tsunoda,20.0,,Electrical,Spanish Grand Prix,4
33,VER,Max Verstappen,1.0,0 days 01:38:56.820000,Finished,Monaco Grand Prix,5
55,SAI,Carlos Sainz,2.0,0 days 00:00:08.968000,Finished,Monaco Grand Prix,5
4,NOR,Lando Norris,3.0,0 days 00:00:19.427000,Finished,Monaco Grand Prix,5
11,PER,Sergio Perez,4.0,0 days 00:00:20.490000,Finished,Monaco Grand Prix,5
5,VET,Sebastian Vettel,5.0,0 days 00:00:52.591000,Finished,Monaco Grand Prix,5
10,GAS,Pierre Gasly,6.0,0 days 00:00:53.896000,Finished,Monaco Grand Prix,5
44,HAM,Lewis Hamilton,7.0,0 days 00:01:08.231000,Finished,Monaco Grand Prix,5
18,STR,Lance Stroll,8.0,,+1 Lap,Monaco Grand Prix,5
31,OCO,Esteban Ocon,9.0,,+1 Lap,Monaco Grand Prix,5
99,GIO,Antonio Giovinazzi,10.0,,+1 Lap,Monaco Grand Prix,5
7,RAI,Kimi Räikkönen,11.0,,+1 Lap,Monaco Grand Prix,5
3,RIC,Daniel Ricciardo,12.0,,+1 Lap,Monaco Grand Prix,5
14,ALO,Fernando Alonso,13.0,,+1 Lap,Monaco Grand Prix,5
63,RUS,George Russell,14.0,,+1 Lap,Monaco Grand Prix,5
6,LAT,Nicholas Latifi,15.0,,+1 Lap,Monaco Grand Prix,5
22,TSU,Yuki Tsunoda,16.0,,+1 Lap,Monaco Grand Prix,5
9,MAZ,Nikita Mazepin,17.0,,+3 Laps,Monaco Grand Prix,5
47,MSC,Mick Schumacher,18.0,,+3 Laps,Monaco Grand Prix,5
77,BOT,Valtteri Bottas,19.0,,Wheel nut,Monaco Grand Prix,5
16,LEC,Charles Leclerc,20.0,,Driveshaft,Monaco Grand Prix,5
11,PER,Sergio Perez,1.0,0 days 02:13:36.410000,Finished,Azerbaijan Grand Prix,6
5,VET,Sebastian Vettel,2.0,0 days 00:00:01.385000,Finished,Azerbaijan Grand Prix,6
10,GAS,Pierre Gasly,3.0,0 days 00:00:02.762000,Finished,Azerbaijan Grand Prix,6
16,LEC,Charles Leclerc,4.0,0 days 00:00:03.828000,Finished,Azerbaijan Grand Prix,6
4,NOR,Lando Norris,5.0,0 days 00:00:04.754000,Finished,Azerbaijan Grand Prix,6
14,ALO,Fernando Alonso,6.0,0 days 00:00:06.382000,Finished,Azerbaijan Grand Prix,6
22,TSU,Yuki Tsunoda,7.0,0 days 00:00:06.624000,Finished,Azerbaijan Grand Prix,6
55,SAI,Carlos Sainz,8.0,0 days 00:00:07.709000,Finished,Azerbaijan Grand Prix,6
3,RIC,Daniel Ricciardo,9.0,0 days 00:00:08.874000,Finished,Azerbaijan Grand Prix,6
7,RAI,Kimi Räikkönen,10.0,0 days 00:00:09.576000,Finished,Azerbaijan Grand Prix,6
99,GIO,Antonio Giovinazzi,11.0,0 days 00:00:10.254000,Finished,Azerbaijan Grand Prix,6
77,BOT,Valtteri Bottas,12.0,0 days 00:00:11.264000,Finished,Azerbaijan Grand Prix,6
47,MSC,Mick Schumacher,13.0,0 days 00:00:14.241000,Finished,Azerbaijan Grand Prix,6
9,MAZ,Nikita Mazepin,14.0,0 days 00:00:14.315000,Finished,Azerbaijan Grand Prix,6
44,HAM,Lewis Hamilton,15.0,0 days 00:00:17.668000,Finished,Azerbaijan Grand Prix,6
6,LAT,Nicholas Latifi,16.0,0 days 00:00:43.379000,Finished,Azerbaijan Grand Prix,6
63,RUS,George Russell,17.0,,Gearbox,Azerbaijan Grand Prix,6
33,VER,Max Verstappen,18.0,,Accident,Azerbaijan Grand Prix,6
18,STR,Lance Stroll,19.0,,Accident,Azerbaijan Grand Prix,6
31,OCO,Esteban Ocon,20.0,,Turbo,Azerbaijan Grand Prix,6
33,VER,Max Verstappen,1.0,0 days 01:27:25.770000,Finished,French Grand Prix,7
44,HAM,Lewis Hamilton,2.0,0 days 00:00:02.904000,Finished,French Grand Prix,7
11,PER,Sergio Perez,3.0,0 days 00:00:08.811000,Finished,French Grand Prix,7
77,BOT,Valtteri Bottas,4.0,0 days 00:00:14.618000,Finished,French Grand Prix,7
4,NOR,Lando Norris,5.0,0 days 00:01:04.032000,Finished,French Grand Prix,7
3,RIC,Daniel Ricciardo,6.0,0 days 00:01:15.857000,Finished,French Grand Prix,7
10,GAS,Pierre Gasly,7.0,0 days 00:01:16.596000,Finished,French Grand Prix,7
14,ALO,Fernando Alonso,8.0,0 days 00:01:17.695000,Finished,French Grand Prix,7
5,VET,Sebastian Vettel,9.0,0 days 00:01:19.666000,Finished,French Grand Prix,7
18,STR,Lance Stroll,10.0,0 days 00:01:31.946000,Finished,French Grand Prix,7
55,SAI,Carlos Sainz,11.0,0 days 00:01:39.337000,Finished,French Grand Prix,7
63,RUS,George Russell,12.0,,+1 Lap,French Grand Prix,7
22,TSU,Yuki Tsunoda,13.0,,+1 Lap,French Grand Prix,7
31,OCO,Esteban Ocon,14.0,,+1 Lap,French Grand Prix,7
99,GIO,Antonio Giovinazzi,15.0,,+1 Lap,French Grand Prix,7
16,LEC,Charles Leclerc,16.0,,+1 Lap,French Grand Prix,7
7,RAI,Kimi Räikkönen,17.0,,+1 Lap,French Grand Prix,7
6,LAT,Nicholas Latifi,18.0,,+1 Lap,French Grand Prix,7
47,MSC,Mick Schumacher,19.0,,+1 Lap,French Grand Prix,7
9,MAZ,Nikita Mazepin,20.0,,+1 Lap,French Grand Prix,7
33,VER,Max Verstappen,1.0,0 days 01:22:18.925000,Finished,Styrian Grand Prix,8
44,HAM,Lewis Hamilton,2.0,0 days 00:00:35.743000,Finished,Styrian Grand Prix,8
77,BOT,Valtteri Bottas,3.0,0 days 00:00:46.907000,Finished,Styrian Grand Prix,8
11,PER,Sergio Perez,4.0,0 days 00:00:47.434000,Finished,Styrian Grand Prix,8
4,NOR,Lando Norris,5.0,,+1 Lap,Styrian Grand Prix,8
55,SAI,Carlos Sainz,6.0,,+1 Lap,Styrian Grand Prix,8
16,LEC,Charles Leclerc,7.0,,+1 Lap,Styrian Grand Prix,8
18,STR,Lance Stroll,8.0,,+1 Lap,Styrian Grand Prix,8
14,ALO,Fernando Alonso,9.0,,+1 Lap,Styrian Grand Prix,8
22,TSU,Yuki Tsunoda,10.0,,+1 Lap,Styrian Grand Prix,8
7,RAI,Kimi Räikkönen,11.0,,+1 Lap,Styrian Grand Prix,8
5,VET,Sebastian Vettel,12.0,,+1 Lap,Styrian Grand Prix,8
3,RIC,Daniel Ricciardo,13.0,,+1 Lap,Styrian Grand Prix,8
31,OCO,Esteban Ocon,14.0,,+1 Lap,Styrian Grand Prix,8
99,GIO,Antonio Giovinazzi,15.0,,+1 Lap,Styrian Grand Prix,8
47,MSC,Mick Schumacher,16.0,,+2 Laps,Styrian Grand Prix,8
6,LAT,Nicholas Latifi,17.0,,+3 Laps,Styrian Grand Prix,8
9,MAZ,Nikita Mazepin,18.0,,+3 Laps,Styrian Grand Prix,8
63,RUS,George Russell,19.0,,Engine,Styrian Grand Prix,8
10,GAS,Pierre Gasly,20.0,,Collision,Styrian Grand Prix,8
33,VER,Max Verstappen,1.0,0 days 01:23:54.543000,Finished,Austrian Grand Prix,9
77,BOT,Valtteri Bottas,2.0,0 days 00:00:17.973000,Finished,Austrian Grand Prix,9
4,NOR,Lando Norris,3.0,0 days 00:00:20.019000,Finished,Austrian Grand Prix,9
44,HAM,Lewis Hamilton,4.0,0 days 00:00:46.452000,Finished,Austrian Grand Prix,9
55,SAI,Carlos Sainz,5.0,0 days 00:00:57.144000,Finished,Austrian Grand Prix,9
11,PER,Sergio Perez,6.0,0 days 00:00:57.915000,Finished,Austrian Grand Prix,9
3,RIC,Daniel Ricciardo,7.0,0 days 00:01:00.395000,Finished,Austrian Grand Prix,9
16,LEC,Charles Leclerc,8.0,0 days 00:01:01.195000,Finished,Austrian Grand Prix,9
10,GAS,Pierre Gasly,9.0,0 days 00:01:01.844000,Finished,Austrian Grand Prix,9
14,ALO,Fernando Alonso,10.0,,+1 Lap,Austrian Grand Prix,9
63,RUS,George Russell,11.0,,+1 Lap,Austrian Grand Prix,9
22,TSU,Yuki Tsunoda,12.0,,+1 Lap,Austrian Grand Prix,9
18,STR,Lance Stroll,13.0,,+1 Lap,Austrian Grand Prix,9
99,GIO,Antonio Giovinazzi,14.0,,+1 Lap,Austrian Grand Prix,9
7,RAI,Kimi Räikkönen,15.0,,+1 Lap,Austrian Grand Prix,9
6,LAT,Nicholas Latifi,16.0,,+1 Lap,Austrian Grand Prix,9
5,VET,Sebastian Vettel,17.0,,Collision,Austrian Grand Prix,9
47,MSC,Mick Schumacher,18.0,,+2 Laps,Austrian Grand Prix,9
9,MAZ,Nikita Mazepin,19.0,,+2 Laps,Austrian Grand Prix,9
31,OCO,Esteban Ocon,20.0,,Collision,Austrian Grand Prix,9
44,HAM,Lewis Hamilton,1.0,0 days 01:58:23.284000,Finished,British Grand Prix,10
16,LEC,Charles Leclerc,2.0,0 days 00:00:03.871000,Finished,British Grand Prix,10
77,BOT,Valtteri Bottas,3.0,0 days 00:00:11.125000,Finished,British Grand Prix,10
4,NOR,Lando Norris,4.0,0 days 00:00:28.573000,Finished,British Grand Prix,10
3,RIC,Daniel Ricciardo,5.0,0 days 00:00:42.624000,Finished,British Grand Prix,10
55,SAI,Carlos Sainz,6.0,0 days 00:00:43.454000,Finished,British Grand Prix,10
14,ALO,Fernando Alonso,7.0,0 days 00:01:12.093000,Finished,British Grand Prix,10
18,STR,Lance Stroll,8.0,0 days 00:01:14.289000,Finished,British Grand Prix,10
31,OCO,Esteban Ocon,9.0,0 days 00:01:16.162000,Finished,British Grand Prix,10
22,TSU,Yuki Tsunoda,10.0,0 days 00:01:22.065000,Finished,British Grand Prix,10
10,GAS,Pierre Gasly,11.0,0 days 00:01:25.327000,Finished,British Grand Prix,10
63,RUS,George Russell,12.0,,+1 Lap,British Grand Prix,10
99,GIO,Antonio Giovinazzi,13.0,,+1 Lap,British Grand Prix,10
6,LAT,Nicholas Latifi,14.0,,+1 Lap,British Grand Prix,10
7,RAI,Kimi Räikkönen,15.0,,+1 Lap,British Grand Prix,10
11,PER,Sergio Perez,16.0,,+1 Lap,British Grand Prix,10
9,MAZ,Nikita Mazepin,17.0,,+1 Lap,British Grand Prix,10
47,MSC,Mick Schumacher,18.0,,+1 Lap,British Grand Prix,10
5,VET,Sebastian Vettel,19.0,,Retired,British Grand Prix,10
33,VER,Max Verstappen,20.0,,Collision,British Grand Prix,10
31,OCO,Esteban Ocon,1.0,0 days 02:04:43.199000,Finished,Hungarian Grand Prix,11
44,HAM,Lewis Hamilton,2.0,0 days 00:00:02.736000,Finished,Hungarian Grand Prix,11
55,SAI,Carlos Sainz,3.0,0 days 00:00:15.018000,Finished,Hungarian Grand Prix,11
14,ALO,Fernando Alonso,4.0,0 days 00:00:15.651000,Finished,Hungarian Grand Prix,11
10,GAS,Pierre Gasly,5.0,0 days 00:01:03.614000,Finished,Hungarian Grand Prix,11
