DriverNumber,Abbreviation,FullName,Position,Time,Status,RaceName,Round
31,OCO,Esteban Ocon,10.0,,+1 Lap,Turkish Grand Prix,16
99,GIO,Antonio Giovinazzi,11.0,,+1 Lap,Turkish Grand Prix,16
7,RAI,Kimi Räikkönen,12.0,,+1 Lap,Turkish Grand Prix,16
3,RIC,Daniel Ricciardo,13.0,,+1 Lap,Turkish Grand Prix,16
22,TSU,Yuki Tsunoda,14.0,,+1 Lap,Turkish Grand Prix,16
63,RUS,George Russell,15.0,,+1 Lap,Turkish Grand Prix,16
14,ALO,Fernando Alonso,16.0,,+1 Lap,Turkish Grand Prix,16
6,LAT,Nicholas Latifi,17.0,,+1 Lap,Turkish Grand Prix,16
5,VET,Sebastian Vettel,18.0,,+1 Lap,Turkish Grand Prix,16
47,MSC,Mick Schumacher,19.0,,+2 Laps,Turkish Grand Prix,16
9,MAZ,Nikita Mazepin,20.0,,+2 Laps,Turkish Grand Prix,16
33,VER,Max Verstappen,1.0,0 days 01:34:36.552000,Finished,United States Grand Prix,17
44,HAM,Lewis Hamilton,2.0,0 days 00:00:01.333000,Finished,United States Grand Prix,17
11,PER,Sergio Perez,3.0,0 days 00:00:42.223000,Finished,United States Grand Prix,17
16,LEC,Charles Leclerc,4.0,0 days 00:00:52.246000,Finished,United States Grand Prix,17
3,RIC,Daniel Ricciardo,5.0,0 days 00:01:16.854000,Finished,United States Grand Prix,17
77,BOT,Valtteri Bottas,6.0,0 days 00:01:20.128000,Finished,United States Grand Prix,17
55,SAI,Carlos Sainz,7.0,0 days 00:01:23.545000,Finished,United States Grand Prix,17
4,NOR,Lando Norris,8.0,0 days 00:01:24.395000,Finished,United States Grand Prix,17
22,TSU,Yuki Tsunoda,9.0,,+1 Lap,United States Grand Prix,17
5,VET,Sebastian Vettel,10.0,,+1 Lap,United States Grand Prix,17
99,GIO,Antonio Giovinazzi,11.0,,+1 Lap,United States Grand Prix,17
18,STR,Lance Stroll,12.0,,+1 Lap,United States Grand Prix,17
7,RAI,Kimi Räikkönen,13.0,,+1 Lap,United States Grand Prix,17
63,RUS,George Russell,14.0,,+1 Lap,United States Grand Prix,17
6,LAT,Nicholas Latifi,15.0,,+1 Lap,United States Grand Prix,17
47,MSC,Mick Schumacher,16.0,,+2 Laps,United States Grand Prix,17
9,MAZ,Nikita Mazepin,17.0,,+2 Laps,United States Grand Prix,17
14,ALO,Fernando Alonso,18.0,,Rear wing,United States Grand Prix,17
31,OCO,Esteban Ocon,19.0,,Mechanical,United States Grand Prix,17
10,GAS,Pierre Gasly,20.0,,Suspension,United States Grand Prix,17
33,VER,Max Verstappen,1.0,0 days 01:38:39.086000,Finished,Mexico City Grand Prix,18
44,HAM,Lewis Hamilton,2.0,0 days 00:00:16.555000,Finished,Mexico City Grand Prix,18
11,PER,Sergio Perez,3.0,0 days 00:00:17.752000,Finished,Mexico City Grand Prix,18
10,GAS,Pierre Gasly,4.0,0 days 00:01:03.845000,Finished,Mexico City Grand Prix,18
16,LEC,Charles Leclerc,5.0,0 days 00:01:21.037000,Finished,Mexico City Grand Prix,18
55,SAI,Carlos Sainz,6.0,,+1 Lap,Mexico City Grand Prix,18
5,VET,Sebastian Vettel,7.0,,+1 Lap,Mexico City Grand Prix,18
7,RAI,Kimi Räikkönen,8.0,,+1 Lap,Mexico City Grand Prix,18
14,ALO,Fernando Alonso,9.0,,+1 Lap,Mexico City Grand Prix,18
4,NOR,Lando Norris,10.0,,+1 Lap,Mexico City Grand Prix,18
99,GIO,Antonio Giovinazzi,11.0,,+1 Lap,Mexico City Grand Prix,18
3,RIC,Daniel Ricciardo,12.0,,+1 Lap,Mexico City Grand Prix,18
31,OCO,Esteban Ocon,13.0,,+1 Lap,Mexico City Grand Prix,18
18,STR,Lance Stroll,14.0,,+2 Laps,Mexico City Grand Prix,18
77,BOT,Valtteri Bottas,15.0,,+2 Laps,Mexico City Grand Prix,18
63,RUS,George Russell,16.0,,+2 Laps,Mexico City Grand Prix,18
6,LAT,Nicholas Latifi,17.0,,+2 Laps,Mexico City Grand Prix,18
9,MAZ,Nikita Mazepin,18.0,,+3 Laps,Mexico City Grand Prix,18
47,MSC,Mick Schumacher,19.0,,Collision,Mexico City Grand Prix,18
22,TSU,Yuki Tsunoda,20.0,,Collision,Mexico City Grand Prix,18
44,HAM,Lewis Hamilton,1.0,0 days 01:32:22.851000,Finished,São Paulo Grand Prix,19
33,VER,Max Verstappen,2.0,0 days 00:00:10.496000,Finished,São Paulo Grand Prix,19
77,BOT,Valtteri Bottas,3.0,0 days 00:00:13.576000,Finished,São Paulo Grand Prix,19
11,PER,Sergio Perez,4.0,0 days 00:00:39.940000,Finished,São Paulo Grand Prix,19
16,LEC,Charles Leclerc,5.0,0 days 00:00:49.517000,Finished,São Paulo Grand Prix,19
55,SAI,Carlos Sainz,6.0,0 days 00:00:51.820000,Finished,São Paulo Grand Prix,19
10,GAS,Pierre Gasly,7.0,,+1 Lap,São Paulo Grand Prix,19
31,OCO,Esteban Ocon,8.0,,+1 Lap,São Paulo Grand Prix,19
14,ALO,Fernando Alonso,9.0,,+1 Lap,São Paulo Grand Prix,19
4,NOR,Lando Norris,10.0,,+1 Lap,São Paulo Grand Prix,19
5,VET,Sebastian Vettel,11.0,,+1 Lap,São Paulo Grand Prix,19
7,RAI,Kimi Räikkönen,12.0,,+1 Lap,São Paulo Grand Prix,19
63,RUS,George Russell,13.0,,+1 Lap,São Paulo Grand Prix,19
99,GIO,Antonio Giovinazzi,14.0,,+1 Lap,São Paulo Grand Prix,19
22,TSU,Yuki Tsunoda,15.0,,+1 Lap,São Paulo Grand Prix,19
6,LAT,Nicholas Latifi,16.0,,+1 Lap,São Paulo Grand Prix,19
9,MAZ,Nikita Mazepin,17.0,,+2 Laps,São Paulo Grand Prix,19
47,MSC,Mick Schumacher,18.0,,+2 Laps,São Paulo Grand Prix,19
3,RIC,Daniel Ricciardo,19.0,,Power loss,São Paulo Grand Prix,19
18,STR,Lance Stroll,20.0,,Collision damage,São Paulo Grand Prix,19
44,HAM,Lewis Hamilton,1.0,0 days 01:24:28.471000,Finished,Qatar Grand Prix,20
33,VER,Max Verstappen,2.0,0 days 00:00:25.743000,Finished,Qatar Grand Prix,20
14,ALO,Fernando Alonso,3.0,0 days 00:00:59.457000,Finished,Qatar Grand Prix,20
11,PER,Sergio Perez,4.0,0 days 00:01:02.306000,Finished,Qatar Grand Prix,20
31,OCO,Esteban Ocon,5.0,0 days 00:01:20.570000,Finished,Qatar Grand Prix,20
18,STR,Lance Stroll,6.0,0 days 00:01:21.274000,Finished,Qatar Grand Prix,20
55,SAI,Carlos Sainz,7.0,0 days 00:01:21.911000,Finished,Qatar Grand Prix,20
16,LEC,Charles Leclerc,8.0,0 days 00:01:23.126000,Finished,Qatar Grand Prix,20
4,NOR,Lando Norris,9.0,,+1 Lap,Qatar Grand Prix,20
5,VET,Sebastian Vettel,10.0,,+1 Lap,Qatar Grand Prix,20
10,GAS,Pierre Gasly,11.0,,+1 Lap,Qatar Grand Prix,20
3,RIC,Daniel Ricciardo,12.0,,+1 Lap,Qatar Grand Prix,20
22,TSU,Yuki Tsunoda,13.0,,+1 Lap,Qatar Grand Prix,20
7,RAI,Kimi Räikkönen,14.0,,+1 Lap,Qatar Grand Prix,20
99,GIO,Antonio Giovinazzi,15.0,,+1 Lap,Qatar Grand Prix,20
47,MSC,Mick Schumacher,16.0,,+1 Lap,Qatar Grand Prix,20
63,RUS,George Russell,17.0,,+2 Laps,Qatar Grand Prix,20
9,MAZ,Nikita Mazepin,18.0,,+2 Laps,Qatar Grand Prix,20
6,LAT,Nicholas Latifi,19.0,,Puncture,Qatar Grand Prix,20
77,BOT,Valtteri Bottas,20.0,,Damage,Qatar Grand Prix,20
44,HAM,Lewis Hamilton,1.0,0 days 02:06:15.118000,Finished,Saudi Arabian Grand Prix,21
33,VER,Max Verstappen,2.0,0 days 00:00:11.825000,Finished,Saudi Arabian Grand Prix,21
77,BOT,Valtteri Bottas,3.0,0 days 00:00:27.531000,Finished,Saudi Arabian Grand Prix,21
31,OCO,Esteban Ocon,4.0,0 days 00:00:27.633000,Finished,Saudi Arabian Grand Prix,21
3,RIC,Daniel Ricciardo,5.0,0 days 00:00:40.121000,Finished,Saudi Arabian Grand Prix,21
10,GAS,Pierre Gasly,6.0,0 days 00:00:41.613000,Finished,Saudi Arabian Grand Prix,21
16,LEC,Charles Leclerc,7.0,0 days 00:00:44.475000,Finished,Saudi Arabian Grand Prix,21
55,SAI,Carlos Sainz,8.0,0 days 00:00:46.606000,Finished,Saudi Arabian Grand Prix,21
99,GIO,Antonio Giovinazzi,9.0,0 days 00:00:58.505000,Finished,Saudi Arabian Grand Prix,21
4,NOR,Lando Norris,10.0,0 days 00:01:01.358000,Finished,Saudi Arabian Grand Prix,21
18,STR,Lance Stroll,11.0,0 days 00:01:17.212000,Finished,Saudi Arabian Grand Prix,21
6,LAT,Nicholas Latifi,12.0,0 days 00:01:23.249000,Finished,Saudi Arabian Grand Prix,21
14,ALO,Fernando Alonso,13.0,,+1 Lap,Saudi Arabian Grand Prix,21
22,TSU,Yuki Tsunoda,14.0,,+1 Lap,Saudi Arabian Grand Prix,21
7,RAI,Kimi Räikkönen,15.0,,+1 Lap,Saudi Arabian Grand Prix,21
5,VET,Sebastian Vettel,16.0,,Collision damage,Saudi Arabian Grand Prix,21
11,PER,Sergio Perez,17.0,,Collision,Saudi Arabian Grand Prix,21
9,MAZ,Nikita Mazepin,18.0,,Collision,Saudi Arabian Grand Prix,21
63,RUS,George Russell,19.0,,Collision,Saudi Arabian Grand Prix,21
47,MSC,Mick Schumacher,20.0,,Accident,Saudi Arabian Grand Prix,21
33,VER,Max Verstappen,1.0,0 days 01:30:17.345000,Finished,Abu Dhabi Grand Prix,22
44,HAM,Lewis Hamilton,2.0,0 days 00:00:02.256000,Finished,Abu Dhabi Grand Prix,22
55,SAI,Carlos Sainz,3.0,0 days 00:00:05.173000,Finished,Abu Dhabi Grand Prix,22
22,TSU,Yuki Tsunoda,4.0,0 days 00:00:05.692000,Finished,Abu Dhabi Grand Prix,22
10,GAS,Pierre Gasly,5.0,0 days 00:00:06.531000,Finished,Abu Dhabi Grand Prix,22
77,BOT,Valtteri Bottas,6.0,0 days 00:00:07.463000,Finished,Abu Dhabi Grand Prix,22
4,NOR,Lando Norris,7.0,0 days 00:00:59.200000,Finished,Abu Dhabi Grand Prix,22
14,ALO,Fernando Alonso,8.0,0 days 00:01:01.708000,Finished,Abu Dhabi Grand Prix,22
31,OCO,Esteban Ocon,9.0,0 days 00:01:04.026000,Finished,Abu Dhabi Grand Prix,22
16,LEC,Charles Leclerc,10.0,0 days 00:01:06.057000,Finished,Abu Dhabi Grand Prix,22
5,VET,Sebastian Vettel,11.0,0 days 00:01:07.527000,Finished,Abu Dhabi Grand Prix,22
3,RIC,Daniel Ricciardo,12.0,,+1 Lap,Abu Dhabi Grand Prix,22
18,STR,Lance Stroll,13.0,,+1 Lap,Abu Dhabi Grand Prix,22
47,MSC,Mick Schumacher,14.0,,+1 Lap,Abu Dhabi Grand Prix,22
11,PER,Sergio Perez,15.0,,Engine,Abu Dhabi Grand Prix,22
6,LAT,Nicholas Latifi,16.0,,Accident,Abu Dhabi Grand Prix,22
99,GIO,Antonio Giovinazzi,17.0,,Gearbox,Abu Dhabi Grand Prix,22
63,RUS,George Russell,18.0,,Gearbox,Abu Dhabi Grand Prix,22
7,RAI,Kimi Räikkönen,19.0,,Brakes,Abu Dhabi Grand Prix,22
9,MAZ,Nikita Mazepin,,,Illness,Abu Dhabi Grand Prix,22
